"","year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
"17",1888,"SSBvSSB",0.00425531914893617,2.38550030102733,1.74985268652587,3.25205186129098,2.53535610652859,1.70616113744076,1.76248823422561,1.9034375162515,1.99157887035411,1.99509803921569
"18",1889,"SSBvSSB",0.00425531914893617,2.3454108151304,1.73124850357902,3.1774478824724,2.52614390856229,1.70616113744076,1.75203527255313,1.88999947995216,1.98859379572725,1.99509803921569
"19",1890,"SSBvSSB",0.00425531914893617,2.30298357745226,1.71129897151639,3.09924416848983,2.51813521300577,1.70616113744076,1.74506663143815,1.88303083883717,1.98369183494293,1.98529411764706
"20",1891,"SSBvSSB",0.00425531914893617,2.25787527988102,1.69023502901439,3.01614905145502,2.50728827678707,1.70616113744076,1.73461366976568,1.86959280253783,1.97825577992391,1.98039215686275
"21",1892,"SSBvSSB",0.0074468085106383,2.20992790127522,1.66923002866033,2.92576891439837,2.01801555116996,1.70616113744076,1.86230955796953,1.97611940298507,2,2
"22",1893,"SSBvSSB",0.0074468085106383,2.17089513778131,1.64902336123288,2.85792536966793,2.01174265774917,1.70616113744076,1.84918612512351,1.97058823529412,1.99573863636364,2
"23",1894,"SSBvSSB",0.0074468085106383,2.1345221025416,1.62966884726357,2.79577327252041,2.00580761961627,1.70142180094787,1.83923240938166,1.9656862745098,1.99147727272727,2
"24",1895,"SSBvSSB",0.0074468085106383,2.10004595572054,1.61129219143592,2.73705355216052,2.00035249609061,1.69337979094077,1.83110305733668,1.96417910447761,1.98721590909091,2
"25",1896,"SSBvSSB",0.0074468085106383,2.06679176834155,1.59404056927859,2.67974874417254,1.99630371674153,1.6794425087108,1.82981537808587,1.96078431372549,1.984375,2
"26",1897,"SSBvSSB",0.0074468085106383,2.03402560539322,1.57803479064021,2.62178006970099,1.99145746549549,1.65853658536585,1.82683030345901,1.96078431372549,1.98295454545455,2
"27",1898,"SSBvSSB",0.0074468085106383,2.00117880680657,1.56362091772361,2.56118127572891,1.98752722489822,1.64459930313589,1.82683030345901,1.95588235294118,1.98011363636364,2
"28",1899,"SSBvSSB",0.00957446808510638,1.96757458014009,1.55166626673564,2.49496287404501,2.03175677230372,1.94626865671642,1.94626865671642,1.95738636363636,2,2
"29",1900,"SSBvSSB",0.0148936170212766,1.92957009804205,1.5368786225819,2.42259909699511,1.81063141640005,1.94029850746269,1.95098039215686,2,2,2
"30",1901,"SSBvSSB",0.0170212765957447,1.89920291429164,1.52205481629936,2.36980407737459,1.72018019847045,1.91919191919192,1.94318846941762,1.99076287177644,2,2
"31",1902,"SSBvSSB",0.0170212765957447,1.87802040960515,1.51073804986098,2.33459444489273,1.71641430767995,1.91919191919192,1.9377524143986,1.98623349061073,2,2
"32",1903,"SSBvSSB",0.0170212765957447,1.86145294875879,1.50213605494042,2.3067198667169,1.71144209708381,1.91919191919192,1.92986537898742,1.98205521763023,2,2
"33",1904,"SSBvSSB",0.0170212765957447,1.84891322155283,1.4966772032904,2.28404634834914,1.70649860956503,1.91919191919192,1.92741439859526,1.97107422356129,2,2
"34",1905,"SSBvSSB",0.0191489361702128,1.83993333214744,1.49520769931802,2.26413672715253,1.66668570741734,1.91666666666667,1.91919191919192,1.96114655404798,2,2
"35",1906,"SSBvSSB",0.0202127659574468,1.83854521582569,1.49845602009839,2.25582096858177,1.65454227774866,1.91176470588235,1.91780491481984,1.95264623955432,2,2
